Date,NFLX,AAPL,MSFT,GOOG
1/23/2020,349.600006,77.651939,160.361145,74.332497
1/24/2020,353.160004,77.428169,158.745255,73.335503
1/27/2020,342.880005,75.15136,156.0905,71.695
1/28/2020,348.519989,77.277351,159.149231,72.627998
1/29/2020,343.160004,78.894928,161.630859,72.931503
1/30/2020,347.73999,78.780586,166.190018,72.792
1/31/2020,345.089996,75.287582,163.737335,71.711502
2/3/2020,358,75.080826,167.72905,74.296997
2/4/2020,369.01001,77.559509,173.250061,72.3535
2/5/2020,369.670013,78.191963,173.038483,72.411499
2/6/2020,366.950012,79.106567,176.626236,73.811501
2/7/2020,366.769989,78.031288,176.876282,73.961502
2/10/2020,371.070007,78.401901,181.502838,75.433998
2/11/2020,373.690002,77.928879,177.405334,75.439499
2/12/2020,380.01001,79.77951,177.665039,75.913498
2/13/2020,381.399994,79.211411,176.703201,75.733002
2/14/2020,380.399994,79.230911,178.280624,76.037003
2/18/2020,387.779999,77.780151,180.088867,75.983498
2/19/2020,386.190002,78.906616,180.629013,76.334503
2/20/2020,386,78.097115,177.870575,75.907501
2/21/2020,380.070007,76.329399,172.24762,74.255501
2/24/2020,368.700012,72.703705,164.82106,71.079498
2/25/2020,360.089996,70.241066,162.101257,69.422501
2/26/2020,379.23999,71.35537,164.126678,69.658997
2/27/2020,371.709991,66.690994,152.562439,65.904503
2/28/2020,369.029999,66.651978,156.256424,66.966499
3/2/2020,381.049988,72.857323,166.653595,69.455498
3/3/2020,368.769989,70.543427,158.667633,67.069504
3/4/2020,383.790009,73.815552,164.493164,69.325996
3/5/2020,372.779999,71.421211,160.365204,65.952003
3/6/2020,368.970001,70.472702,155.832077,64.920502
3/9/2020,346.48999,64.898888,145.27095,60.778
3/10/2020,364.130005,69.573006,155.20517,64.019501
3/11/2020,349.920013,67.1567,148.174072,60.7705
3/12/2020,315.25,60.524654,134.121521,55.745499
3/13/2020,336.299988,67.776001,153.189362,60.9865
3/16/2020,298.839996,59.056835,130.610764,54.216499
3/17/2020,319.75,61.653572,141.364792,55.990002
3/18/2020,315.470001,60.144295,135.41391,54.84
3/19/2020,332.029999,59.683464,137.641846,55.7645
3/20/2020,332.829987,55.894428,132.472214,53.616001
3/23/2020,360.269989,54.706997,131.150833,52.831001
3/24/2020,357.320007,60.195488,143.071899,56.723
3/25/2020,342.390015,59.863892,141.702347,55.1245
3/26/2020,362.98999,63.014118,150.565979,58.087502
3/27/2020,357.119995,60.405186,144.383606,55.5355
3/30/2020,370.959991,62.129017,154.539658,57.341
3/31/2020,375.5,62.002235,152.109146,58.140499
4/1/2020,364.079987,58.739861,146.708038,55.280998
4/2/2020,370.079987,59.720028,149.746124,56.042
4/3/2020,361.76001,58.861778,148.366974,54.894001
4/6/2020,379.959991,63.996708,159.400665,59.346001
4/7/2020,372.279999,63.255489,157.683884,59.3255
4/8/2020,371.119995,64.874504,159.265625,60.514
4/9/2020,370.720001,65.342636,159.275314,60.572498
4/13/2020,396.720001,66.62516,159.632187,60.877998
4/14/2020,413.549988,69.989937,167.531281,63.461498
4/15/2020,426.75,69.35112,165.77594,63.123501
4/16/2020,439.170013,69.902168,170.752655,63.1735
4/17/2020,422.959991,68.95369,172.257294,64.162498
4/20/2020,437.48999,67.522453,168.843018,63.330502
4/21/2020,433.829987,65.435295,161.860123,60.817001
4/22/2020,421.420013,67.320068,167.357712,63.1605
4/23/2020,426.700012,67.059181,165.33223,63.815498
4/24/2020,424.98999,68.99514,168.351135,63.9655
4/27/2020,421.380005,69.043915,167.868866,63.793999
4/28/2020,403.829987,67.924744,163.779419,61.683498
4/29/2020,411.890015,70.155739,171.128815,67.073997
4/30/2020,419.850006,71.63575,172.845596,67.432999
5/1/2020,415.269989,70.482483,168.370422,66.030502
5/4/2020,428.149994,71.479713,172.488754,66.339996
5/5/2020,424.679993,72.552536,174.340591,67.555496
5/6/2020,434.26001,73.301086,176.057358,67.364998
5/7/2020,436.529999,74.05938,177.079742,68.627998
5/8/2020,435.549988,75.822113,178.121323,69.418503
5/11/2020,440.519989,77.015205,180.108185,70.163002
5/12/2020,431.820007,76.135063,176.028412,68.787003
5/13/2020,438.269989,75.215797,173.366455,67.466499
5/14/2020,441.950012,75.677864,174.118713,67.806503
5/15/2020,454.190002,75.230469,176.655334,68.6595
5/18/2020,452.579987,77.002991,178.343185,69.196999
5/19/2020,451.040009,76.558029,177.108658,68.674248
5/20/2020,447.670013,78.046936,179.565262,70.335999
5/21/2020,436.25,77.465065,177.408478,70.139999
5/22/2020,429.320007,77.963806,177.485825,70.521004
5/26/2020,414.769989,77.435715,175.609528,70.850998
5/27/2020,419.890015,77.773102,175.84166,70.891998
5/28/2020,413.440002,77.80732,175.445084,70.836502
5/29/2020,419.730011,77.731537,177.234375,71.445999
6/1/2020,425.920013,78.687469,176.828156,71.591003
6/2/2020,427.309998,79.051758,178.83989,71.960999
6/3/2020,421.970001,79.486946,179.275101,71.819
6/4/2020,414.329987,78.802399,176.915253,70.609001
6/5/2020,419.600006,81.046761,181.054718,71.919502
6/8/2020,419.48999,81.525955,182.17662,72.330498
6/9/2020,434.049988,84.100372,183.569382,72.807999
6/10/2020,434.480011,86.264076,190.378235,73.292503
6/11/2020,425.559998,82.122498,180.155228,70.192001
6/12/2020,418.070007,82.831497,181.576981,70.658997
6/15/2020,425.5,83.855881,182.737595,70.9925
6/16/2020,436.130005,86.078255,187.215591,72.136002
6/17/2020,447.769989,85.95845,187.863617,72.556
6/18/2020,449.869995,85.992699,189.875336,71.797997
6/19/2020,453.720001,85.501274,188.743744,71.585999
6/22/2020,468.040009,87.738312,193.98584,72.593002
6/23/2020,466.26001,89.611076,195.28183,73.220497
6/24/2020,457.850006,88.029243,191.345444,71.598503
6/25/2020,465.910004,89.197884,193.763351,72.066498
6/26/2020,443.399994,86.457214,189.88501,67.995003
6/29/2020,447.23999,88.449753,191.925705,69.748497
6/30/2020,455.040009,89.188103,196.829285,70.680496
7/1/2020,485.640015,89.019424,197.980255,71.902
7/2/2020,476.890015,89.019424,199.489014,73.235001
7/6/2020,493.809998,91.400703,203.783264,74.785004
7/7/2020,493.160004,91.117104,201.413681,74.259003
7/8/2020,502.779999,93.23922,205.843353,74.800003
7/9/2020,507.76001,93.640182,207.284439,75.5495
7/10/2020,548.72998,93.803986,206.655762,77.086998
7/13/2020,525.5,93.371246,200.272415,75.567001
7/14/2020,524.880005,94.916405,201.510452,76.028999
7/15/2020,523.26001,95.56916,201.210587,75.681999
7/16/2020,527.390015,94.393204,197.22583,75.900002
7/17/2020,492.98999,94.202499,196.219971,75.777496
7/20/2020,502.410004,96.187698,204.653732,78.286003
7/21/2020,490.100006,94.860161,201.897278,77.920998
7/22/2020,489.820007,95.126633,204.798798,78.4245
7/23/2020,477.579987,90.796829,195.891113,75.783997
7/24/2020,480.450012,90.571884,194.691849,75.593498
7/27/2020,495.649994,92.718483,197.158142,76.510002
7/28/2020,488.51001,91.195343,195.388199,75.016998
7/29/2020,484.480011,92.943398,197.361221,76.100998
7/30/2020,485.799988,94.068024,197.206512,76.572502
7/31/2020,488.880005,103.915878,198.280045,74.148003
8/3/2020,498.619995,106.534317,209.431564,73.722504
8/4/2020,509.640015,107.245773,206.288254,73.248497
8/5/2020,502.109985,107.634499,205.949722,73.680496
8/6/2020,509.079987,111.389786,209.247833,75.004997
8/7/2020,494.730011,108.857254,205.504807,74.724503
8/10/2020,483.380005,110.439484,201.413681,74.805
8/11/2020,466.929993,107.155014,196.703568,74.015999
8/12/2020,475.470001,110.71624,202.322845,75.331001
8/13/2020,481.329987,112.675644,201.848907,75.922501
8/14/2020,482.679993,112.575218,202.042389,75.386497
